id,city,p_type,subtype,price,nb_bedrooms,living_area,kitchen_type,furnished,open_fire,terrace,garden,land_surface,plot_surface,building_state,facades,swim_pool,zip_code,year_of_construction,geolocation,province
20545888,neupre,other,mixed_use_building,299000,3,115,semi_equipped,0,0,0,0,245,245,GOOD,3,0,4120,1850,"5.4509339,50.5523052",Liège
20546095,remicourt,other,country_cottage,269900,4,240,not_installed,0,0,0,0,2660,2660,TO_RENOVATE,3,0,4350,1899,"5.3679038,50.6879908",Liège
20546035,herstal,house,house,279900,4,150,installed,0,0,0,0,920,920,AS_NEW,3,0,4040,1899,"5.6247182,50.6642301",Liège
20546052,flemalle,house,house,160000,2,71,installed,0,0,0,0,463,463,GOOD,3,0,4400,1900,"5.4415505,50.6231829",Liège
20546176,seraing,apartment,apartment,299000,2,89,installed,0,0,0,0,0,0,AS_NEW,2,Yes,4102,2017,"5.5479226,50.5809488",Liège
20546103,comblain au pont,house,house,150000,3,104,installed,0,0,0,0,193,193,TO_BE_DONE_UP,4,0,4171,1919,"5.5721715,50.5063483",Liège
20546069,comblain au pont,other,apartment_block,150000,3,104,installed,0,0,0,0,193,193,TO_BE_DONE_UP,4,0,4171,1919,"5.5721715,50.5063483",Liège
20546020,seraing,house,house,199000,5,180,installed,0,0,0,0,165,165,GOOD,2,0,4101,1919,"5.5003236,50.6175416",Liège
20546050,seraing,house,house,209000,5,155,installed,0,0,0,0,315,315,AS_NEW,2,0,4100,1899,"5.5070379,50.6096691",Liège
20546153,ans,house,house,209000,3,111,installed,0,0,0,0,311,311,AS_NEW,3,0,4430,1930,"5.5353299,50.6582646",Liège
20546033,sprimont,house,house,298000,4,242,usa_installed,0,0,0,0,358,358,GOOD,2,0,4140,1950,"5.6620926,50.5041015",Liège
20546104,verviers,house,house,219000,5,143,installed,0,0,0,0,280,280,AS_NEW,2,0,4800,1900,"5.8806805,50.5968434",Liège
20545976,herstal liers,house,house,299000,5,186,semi_equipped,0,0,0,0,705,705,GOOD,4,0,4042,1939,"5.5660176,50.6956877",Liège
20546170,seraing,house,house,360000,5,217,installed,0,0,0,0,334,334,GOOD,2,0,4101,1998,"5.4990722,50.613518",Liège
20546128,flemalle,house,house,299000,3,146,usa_installed,0,0,0,0,1100,1100,GOOD,4,0,4400,1950,"5.4414769,50.6229042",Liège
20546169,stoumont,house,house,399000,5,206,installed,0,0,0,0,2747,2747,GOOD,4,0,4987,1953,"5.7559196,50.4026471",Liège
20546021,fernelmont,house,house,399000,4,146,installed,0,1,0,0,1390,1390,AS_NEW,4,0,5380,1988,"4.9450296,50.5284325",Namur
20546038,herstal,apartment,apartment,195000,1,60,installed,0,0,0,0,0,0,AS_NEW,0,0,4041,1977,"5.5932578,50.6693568",Liège
20543854,waterloo,house,villa,1390000,5,450,hyper_equipped,0,0,0,0,1000,1000,GOOD,4,0,1410,1992,"4.4214905,50.7033677",Walloon Brabant
20545905,flemalle,house,house,159000,2,101,usa_semi_equipped,0,0,0,0,330,330,TO_RENOVATE,4,0,4400,1930,"5.4404908,50.6124383",Liège
20545984,seraing,other,mixed_use_building,329000,5,110,not_installed,0,0,0,0,1640,1640,TO_RENOVATE,2,0,4100,1900,"5.5164525,50.6013668",Liège
20545955,chaudfontaine,house,house,229000,4,170,installed,0,0,0,0,216,216,GOOD,2,0,4051,1930,"5.6347611,50.6015023",Liège
20546138,seraing,other,apartment_block,399000,3,185,installed,0,0,0,0,223,223,AS_NEW,2,0,4100,1918,"5.5106564,50.6013709",Liège
20545981,tinlot,house,house,419000,4,180,installed,0,0,0,0,2026,2026,AS_NEW,4,Yes,4557,2009,"5.4154729,50.4838602",Liège
20545894,juprelle fexhe slins,other,bungalow,549000,5,170,installed,0,0,0,0,2318,2318,TO_BE_DONE_UP,4,0,4458,1969,"5.5719507,50.7238485",Liège
20546082,seraing,apartment,apartment,79000,1,49,not_installed,0,0,0,0,0,0,TO_RENOVATE,0,0,4100,1918,"5.5106564,50.6013709",Liège
20546148,liege,house,house,199000,4,113,installed,0,0,0,0,75,75,GOOD,2,0,4000,1918,"5.557001,50.6422542",Liège
20546167,seraing,house,house,215000,4,117,semi_equipped,0,0,0,0,104,104,GOOD,2,0,4101,2021,"5.4986429,50.6150498",Liège
20546174,seraing,house,house,220000,5,181,installed,0,0,0,0,211,211,GOOD,2,0,4101,1918,"5.4959503,50.6172259",Liège
20546596,lommel,house,house,309000,3,138,0,0,0,0,0,0,0,TO_RENOVATE,0,0,3920,1968,"5.2966082,51.2382179",Limburg
20546032,herstal,house,house,249000,3,132,hyper_equipped,0,0,0,0,174,174,AS_NEW,2,0,4040,0,"5.6272331,50.6705859",Liège
20546594,lommel,house,house,185000,2,145,0,0,0,0,0,0,0,TO_RENOVATE,0,0,3920,1930,"5.2610349,51.2197021",Limburg
20546595,lommel,apartment,apartment,235000,1,65,0,0,0,0,0,0,0,AS_NEW,0,0,3920,2014,"5.3070145,51.2281721",Limburg
20546589,adinkerke,house,house,225000,3,,0,0,0,0,0,170,170,AS_NEW,2,0,8660,1964,"2.5955434,51.072582",West Flanders
11214976,terhagen,other,exceptional_property,449000,5,230,0,0,0,0,0,302,302,GOOD,3,0,2840,1930,"4.4039002,51.0804251",Antwerp
20546584,li%C3%A8ge,apartment,penthouse,599000,2,109,0,1,0,0,0,0,0,GOOD,2,0,4020,2024,"5.581322,50.6376678",Liège
20546585,li%C3%A8ge,apartment,duplex,599000,2,109,0,1,0,0,0,0,0,GOOD,2,0,4020,2024,"5.581322,50.6376678",Liège
20546583,hoboken,apartment,ground_floor,189000,1,97,0,0,0,0,0,0,0,0,2,0,2660,1938,"4.3747583,51.1856019",Antwerp
20546582,jambes,apartment,apartment,345968,3,121,0,0,0,0,0,0,0,0,3,0,5100,2017,"4.8742135,50.444875",Namur
20546571,maasmechelen,house,house,410000,6,247,0,0,0,0,0,0,0,AS_NEW,3,0,3630,0,"5.6915354,50.9393743",Limburg
20546570,w%C3%89pion,other,exceptional_property,680000,4,245,installed,0,1,0,0,2423,2423,GOOD,4,0,5100,1985,0,Namur
20546568,boom,house,house,340000,3,110,0,0,0,0,0,130,130,GOOD,2,0,2850,1930,"4.3667639,51.0999978",Antwerp
20546567,torhout,apartment,apartment,200000,2,103,0,0,0,0,0,0,0,GOOD,3,0,8820,1998,"3.0933509,51.0662254",West Flanders
20546566,houyet,house,house,295000,4,293,semi_equipped,0,0,0,0,2147,2147,TO_BE_DONE_UP,3,0,5564,1985,0,Namur
20546565,bavikhove,house,house,265000,4,189,0,0,0,0,0,584,584,TO_RENOVATE,4,0,8531,1980,0,West Flanders
20546560,knokke heist,apartment,apartment,1345000,3,121,0,0,0,0,0,0,0,AS_NEW,0,0,8301,0,"3.2706184,51.3462875",West Flanders
